r,E_rbm_r_low_96,E_rbm_r_low_68,E_rbm_r_high_68,E_rbm_r_high_96,E_rbm_r_median
0.2,-1.0128546629762452,-1.0114254803132692,-1.00734764432434,-1.0044368509983876,-1.0099469536502927
0.25,-1.0522001888665735,-1.0116878893790966,-1.0063339212534546,-1.0032714371906335,-1.0090880053162754
0.3,-1.0425310574564008,-1.0120409796596812,-1.0066855977591418,-1.0039308068088724,-1.0094403887094114
0.35,-1.0273835312730435,-1.0136905985675257,-1.0065648366127333,-1.0021968594398578,-1.0094768213946503
0.4,-1.0336932604080677,-1.022226515101994,-1.010357741737581,-1.0052922935496913,-1.0145785648784984
0.45,-1.0438359777298098,-1.0348240316665467,-1.020103297670924,-1.0139613962612688,-1.0275617487564992
0.5,-1.1231344300935715,-1.1049400267766687,-1.0751396094605254,-1.0607145103240314,-1.0898872817929448
0.55,-1.2391788616576291,-1.2134434423181648,-1.1721333779149443,-1.151077407865389,-1.191665023231987
0.6,-1.3164047084943915,-1.2925794924284688,-1.2517424883358383,-1.2320384678827394,-1.2716468000201409
0.65,-1.342732248810704,-1.3230308886848556,-1.2860114355718488,-1.2649712295192916,-1.30491580957406
0.7,-1.3824551912276093,-1.3596235878238427,-1.321722176196332,-1.3038215209283448,-1.3404515498211782
0.75,-1.3686339334431856,-1.3515297139716533,-1.3174088856329325,-1.2996330812823362,-1.3343166618958904
0.8,-1.33954268834228,-1.3244446504836302,-1.2960942307283687,-1.2827295331522282,-1.310197812085183
0.85,-1.3302813281619372,-1.3180324404923063,-1.2922050507712863,-1.2773347134480852,-1.304897340470591
0.9,-1.2674221362231477,-1.2549249666769686,-1.2352885386201509,-1.2251776006487358,-1.2448870332596313
0.95,-1.2555109907877955,-1.246141722241632,-1.2284765960023356,-1.2190937620491775,-1.2370149713100456
1.0,-1.231054378717908,-1.2230953717046136,-1.2090884398957775,-1.2001299609360176,-1.2159244253063763
1.05,-1.1720106786723645,-1.166875571226624,-1.1570711420441122,-1.1522242455056175,-1.1619663073744784
1.1,-1.1448859621736198,-1.1414659051420617,-1.13403879679284,-1.1292291116982067,-1.1377714108479577
1.15,-1.0973369169614096,-1.09558173582256,-1.090702253310451,-1.0878781120992065,-1.0933364758871147
1.2,-1.0761090549443848,-1.0750983728729278,-1.0711462468868993,-1.0685354656538262,-1.0732566650830893
1.25,-1.038539582167194,-1.0371716758288105,-1.033275779056444,-1.030755554053269,-1.0354261391073087
1.3,-1.0141929837453032,-1.0117706581073027,-1.0068985776563686,-1.0039832870746304,-1.0096253525882668
